# Chess Symbols 1FA00 - 1FA6F
1FA00	neutralKing	NEUTRAL CHESS KING
1FA3F	neutralKing270	NEUTRAL CHESS KING ROTATED TWO HUNDRED SEVENTY DEGREES
1FA40	neutralQueen270	NEUTRAL CHESS QUEEN ROTATED TWO HUNDRED SEVENTY DEGREES
1FA41	neutralRook270	NEUTRAL CHESS ROOK ROTATED TWO HUNDRED SEVENTY DEGREES
1FA42	neutralBishop270	NEUTRAL CHESS BISHOP ROTATED TWO HUNDRED SEVENTY DEGREES
1FA43	neutralKnight270	NEUTRAL CHESS KNIGHT ROTATED TWO HUNDRED SEVENTY DEGREES
1FA44	neutralPawn270	NEUTRAL CHESS PAWN ROTATED TWO HUNDRED SEVENTY DEGREES
1FA45	whiteKnight315	WHITE CHESS KNIGHT ROTATED THREE HUNDRED FIFTEEN DEGREES
1FA46	blackKnight315	BLACK CHESS KNIGHT ROTATED THREE HUNDRED FIFTEEN DEGREES
1FA47	neutralKnight315	NEUTRAL CHESS KNIGHT ROTATED THREE HUNDRED FIFTEEN DEGREES
1FA48	whiteEquihopper	WHITE CHESS EQUIHOPPER
1FA49	blackEquihopper	BLACK CHESS EQUIHOPPER
1FA4A	neutralEquihopper	NEUTRAL CHESS EQUIHOPPER
1FA4B	whiteEquihopper90	WHITE CHESS EQUIHOPPER ROTATED NINETY DEGREES
1FA4C	blackEquihopper90	BLACK CHESS EQUIHOPPER ROTATED NINETY DEGREES
1FA4D	neutralEquihopper90	NEUTRAL CHESS EQUIHOPPER ROTATED NINETY DEGREES
1FA4E	whiteKnight-queen	WHITE CHESS KNIGHT-QUEEN
1FA4F	whiteKnightRook	WHITE CHESS KNIGHT-ROOK
1FA50	whiteKnightBishop	WHITE CHESS KNIGHT-BISHOP
1FA51	blackKnightQueen	BLACK CHESS KNIGHT-QUEEN
1FA52	blackKnightRook	BLACK CHESS KNIGHT-ROOK
1FA53	blackKnightBishop	BLACK CHESS KNIGHT-BISHOP
1FA60	redGeneralXq	XIANGQI RED GENERAL
1FA61	redMandarinXq	XIANGQI RED MANDARIN
1FA62	redElephantXq	XIANGQI RED ELEPHANT
1FA63	redHorseXq	XIANGQI RED HORSE
1FA64	redChariotXq	XIANGQI RED CHARIOT
1FA65	redCannonXq	XIANGQI RED CANNON
1FA66	redSoldierXq	XIANGQI RED SOLDIER
1FA67	blackGeneralXq	XIANGQI BLACK GENERAL
1FA68	blackMandarinXq	XIANGQI BLACK MANDARIN
1FA69	blackElephantXq	XIANGQI BLACK ELEPHANT
1FA6A	blackHorseXq	XIANGQI BLACK HORSE
1FA6B	blackChariotXq	XIANGQI BLACK CHARIOT
1FA6C	blackCannonXq	XIANGQI BLACK CANNON
1FA6D	blackSoldierXq	XIANGQI BLACK SOLDIER
